id,user_id,input,base_response_promo_id,base_response_promo_name,base_score,base_response_model_reason,ft_response_promo_id,ft_response_promo_name,ft_score,ft_response_model_reason,winner,winner_reason
0,user_091,"{""user_profile"":{""eat_habit"":""Fast eater"",""eat_time_pattern"":""Late night snacker"",""diet"":""No restrictions"",""app_behavior"":""Meal planner"",""meal_frequency"":""3 times/day"",""snack_frequency"":""Never"",""cooking_skill"":""Doesn't cook"",""activity_level"":""Extremely active"",""breakfast_time"":""08:45"",""lunch_time"":""14:45"",""dinner_time"":""17:00"",""app_usage_hours"":""Throughout day"",""notification_preference"":""Off"",""goal_oriented"":false,""social_features_user"":true}}",5,Weekday Lunch Deal,1,"Matches user's 14:45 lunch time, aligns with meal_frequency, offers discounted combo, and fits app behavior as meal planner.",1,Flash Feast,2,,ft,FT better: afternoon window fits vs Base: close to lunch window
1,user_092,"{""user_profile"":{""eat_habit"":""Fast eater"",""eat_time_pattern"":""Late starter (9-11 AM breakfast)"",""diet"":""No restrictions"",""app_behavior"":""Weekly checker"",""meal_frequency"":""1-2 times/day"",""snack_frequency"":""Sometimes"",""cooking_skill"":""Intermediate"",""activity_level"":""Extremely active"",""breakfast_time"":""07:30"",""lunch_time"":""13:30"",""dinner_time"":""20:45"",""app_usage_hours"":""Morning"",""notification_preference"":""Low"",""goal_oriented"":false,""social_features_user"":true}}",1,Flash Feast,1,,5,Weekday Lunch Deal,2,,ft,FT better: lunch-time match vs Base: near-afternoon lunch
2,user_093,"{""user_profile"":{""eat_habit"":""Emotional eater"",""eat_time_pattern"":""Early bird (6-7 AM breakfast)"",""diet"":""Flexitarian"",""app_behavior"":""Deep diver"",""meal_frequency"":""6+ times/day"",""snack_frequency"":""Rarely"",""cooking_skill"":""Beginner"",""activity_level"":""Extremely active"",""breakfast_time"":""10:30"",""lunch_time"":""12:00"",""dinner_time"":""21:00"",""app_usage_hours"":""Afternoon"",""notification_preference"":""Medium"",""goal_oriented"":false,""social_features_user"":true}}",5,Weekday Lunch Deal,2,"Matches user's lunch time (12:00 PM), app behavior (afternoon), and engagement goal, aligning with their activity level and meal habits.",1,Flash Feast,2,,tie,Tie: lunch-time match = afternoon window fits
3,user_094,"{""user_profile"":{""eat_habit"":""Slow eater"",""eat_time_pattern"":""Night owl (late dinner)"",""diet"":""Keto"",""app_behavior"":""Community participant"",""meal_frequency"":""3 times/day"",""snack_frequency"":""Often"",""cooking_skill"":""Doesn't cook"",""activity_level"":""Extremely active"",""breakfast_time"":""08:15"",""lunch_time"":""13:45"",""dinner_time"":""18:30"",""app_usage_hours"":""Afternoon"",""notification_preference"":""Medium"",""goal_oriented"":false,""social_features_user"":true}}",,,-5,,1,Flash Feast,2,,ft,FT better: afternoon window fits vs Base: invalid/missing
4,user_095,"{""user_profile"":{""eat_habit"":""Slow eater"",""eat_time_pattern"":""Late night snacker"",""diet"":""Pescatarian"",""app_behavior"":""Streaky user"",""meal_frequency"":""3 times/day"",""snack_frequency"":""Sometimes"",""cooking_skill"":""Advanced"",""activity_level"":""Extremely active"",""breakfast_time"":""07:45"",""lunch_time"":""11:30"",""dinner_time"":""18:00"",""app_usage_hours"":""Evening"",""notification_preference"":""Medium"",""goal_oriented"":true,""social_features_user"":false}}",5,Weekday Lunch Deal,2,User's dinner time (18:00) aligns with the promotion's weekday lunch combo; app behavior (evening) and meal_frequency (3 times/day) match their habits.,,,-5,,base,Base better: lunch-time match vs FT: invalid/missing
5,user_096,"{""user_profile"":{""eat_habit"":""Emotional eater"",""eat_time_pattern"":""3 large meals"",""diet"":""Pescatarian"",""app_behavior"":""Deep diver"",""meal_frequency"":""6+ times/day"",""snack_frequency"":""Never"",""cooking_skill"":""Beginner"",""activity_level"":""Very active"",""breakfast_time"":""09:15"",""lunch_time"":""14:30"",""dinner_time"":""21:30"",""app_usage_hours"":""Afternoon"",""notification_preference"":""Low"",""goal_oriented"":false,""social_features_user"":false}}",5,Weekday Lunch Deal,1,"User has 6+ meals/day, aligns with 14:30 lunch, app usage during that time, and offers a discount for their dietary habits. Fits their activity and time preferences.",4,Two-for-One Tuesdays,0,,base,Base better: close to lunch window vs FT: neutral fit
6,user_097,"{""user_profile"":{""eat_habit"":""Grazing"",""eat_time_pattern"":""Early bird (6-7 AM breakfast)"",""diet"":""Allergic to nuts"",""app_behavior"":""Calorie counter"",""meal_frequency"":""1-2 times/day"",""snack_frequency"":""Often"",""cooking_skill"":""Doesn't cook"",""activity_level"":""Very active"",""breakfast_time"":""09:15"",""lunch_time"":""14:00"",""dinner_time"":""17:45"",""app_usage_hours"":""Throughout day"",""notification_preference"":""Off"",""goal_oriented"":true,""social_features_user"":true}}",8,Loyalty Program Launch,2,"Loyal to app, no nuts, aligns with all time slots, goal-oriented, and fits dietary preferences.",,,-5,,base,Base better: goal-oriented rewards; frequent app usage vs FT: invalid/missing
7,user_098,"{""user_profile"":{""eat_habit"":""Grazing"",""eat_time_pattern"":""Early bird (6-7 AM breakfast)"",""diet"":""No restrictions"",""app_behavior"":""Habit tracker"",""meal_frequency"":""4-5 times/day"",""snack_frequency"":""Often"",""cooking_skill"":""Advanced"",""activity_level"":""Extremely active"",""breakfast_time"":""06:00"",""lunch_time"":""14:00"",""dinner_time"":""20:00"",""app_usage_hours"":""Throughout day"",""notification_preference"":""High"",""goal_oriented"":true,""social_features_user"":false}}",5,Weekday Lunch Deal,2,,1,Flash Feast,2,,tie,Tie: lunch-time match = afternoon window fits
8,user_099,"{""user_profile"":{""eat_habit"":""Mindful eater"",""eat_time_pattern"":""Late night snacker"",""diet"":""DASH"",""app_behavior"":""Community participant"",""meal_frequency"":""3 times/day"",""snack_frequency"":""Rarely"",""cooking_skill"":""Doesn't cook"",""activity_level"":""Sedentary"",""breakfast_time"":""07:30"",""lunch_time"":""14:45"",""dinner_time"":""18:00"",""app_usage_hours"":""Afternoon"",""notification_preference"":""Off"",""goal_oriented"":true,""social_features_user"":true}}",3,Snap & Share Sunday,2,"Promotion aligns with user's late-night eating habits, app behavior, and social engagement preferences (e.g., user-generated content for food sharing). Time (afternoon) matches their app_usage_hours, and their diet is DASH, aligning with the promotion's focus on weekday lunch.",1,Flash Feast,2,,tie,Tie: social user = afternoon window fits
9,user_100,"{""user_profile"":{""eat_habit"":""Clean plate club"",""eat_time_pattern"":""Early bird (6-7 AM breakfast)"",""diet"":""High-protein"",""app_behavior"":""Quick checker"",""meal_frequency"":""1-2 times/day"",""snack_frequency"":""Rarely"",""cooking_skill"":""Beginner"",""activity_level"":""Extremely active"",""breakfast_time"":""07:00"",""lunch_time"":""14:30"",""dinner_time"":""19:15"",""app_usage_hours"":""Throughout day"",""notification_preference"":""High"",""goal_oriented"":true,""social_features_user"":false}}",3,Snap & Share Sunday,0,"Promotes user-generated content engagement (photo sharing) aligns with their activity level, meal time (14:30), and app behavior (quick check).",2,Mystery Meal Monday,-2,,base,Base better: neutral fit vs FT: mystery conflicts with diet
