id,name,eat_habit,eat_time_pattern,diet,app_behavior,meal_frequency,snack_frequency,cooking_skill,activity_level,breakfast_time,lunch_time,dinner_time,app_usage_hours,notification_preference,goal_oriented,social_features_user
user_001,Person 1,Emotional eater,Brunch lover (10 AM-12 PM),DASH,Weekend warrior,3 times/day,Rarely,Expert,Moderately active,07:30,14:00,18:15,Throughout day,Off,True,False
user_002,Person 2,Intermittent fasting,Late night snacker,Paleo,Community participant,4-5 times/day,Often,Doesn't cook,Sedentary,06:00,12:30,18:30,Throughout day,High,True,False
user_003,Person 3,Clean plate club,Consistent schedule,Low-carb,Deep diver,3 times/day,Never,Doesn't cook,Moderately active,07:00,12:45,17:00,Throughout day,Medium,False,False
user_004,Person 4,Grazing,Weekend warrior,No restrictions,Daily active user,6+ times/day,Often,Expert,Extremely active,08:00,13:00,17:15,Night,Medium,False,True
user_005,Person 5,Slow eater,Skip breakfast,Keto,Passive user,6+ times/day,Rarely,Beginner,Extremely active,06:30,12:30,18:15,Morning,Low,True,False
user_006,Person 6,Frequent snacking,Weekend warrior,No restrictions,Daily active user,1-2 times/day,Often,Advanced,Extremely active,08:45,13:00,17:00,Evening,Medium,False,False
user_007,Person 7,Intermittent fasting,Early bird (6-7 AM breakfast),Whole30,Power user,4-5 times/day,Never,Beginner,Lightly active,07:45,11:45,19:00,Evening,High,False,False
user_008,Person 8,Clean plate club,Night owl (late dinner),Gluten-free,Recipe saver,6+ times/day,Never,Doesn't cook,Extremely active,08:00,13:30,21:00,Afternoon,Low,False,False
user_009,Person 9,Emotional eater,Late night snacker,Whole30,Feature explorer,3 times/day,Often,Intermediate,Lightly active,08:45,11:45,21:00,Morning,High,False,True
user_010,Person 10,Regular meals,Skip breakfast,DASH,Goal tracker,6+ times/day,Always,Intermediate,Lightly active,08:15,12:45,19:30,Evening,Off,True,True
user_011,Person 11,Intermittent fasting,Consistent schedule,Raw food,Social sharer,6+ times/day,Sometimes,Doesn't cook,Lightly active,09:00,12:30,21:15,Afternoon,Low,False,False
user_012,Person 12,Regular meals,Standard (7-9 AM breakfast),High-protein,Photo uploader,4-5 times/day,Never,Beginner,Very active,06:45,12:30,17:15,Evening,Low,True,False
user_013,Person 13,Fast eater,3 large meals,Dairy-free,Social sharer,1-2 times/day,Often,Doesn't cook,Moderately active,07:15,11:15,19:30,Evening,Low,True,True
user_014,Person 14,Clean plate club,Late night snacker,Gluten-free,Habit tracker,3 times/day,Always,Expert,Extremely active,10:45,11:00,20:00,Night,Medium,True,True
user_015,Person 15,Mindful eater,Brunch lover (10 AM-12 PM),Raw food,Recipe saver,4-5 times/day,Always,Doesn't cook,Very active,06:15,11:15,20:00,Evening,Low,False,False
user_016,Person 16,Stress eater,Irregular timing,Whole30,Community participant,1-2 times/day,Rarely,Beginner,Lightly active,06:30,12:00,21:00,Afternoon,Medium,True,False
user_017,Person 17,Clean plate club,Brunch lover (10 AM-12 PM),High-protein,Habit tracker,4-5 times/day,Never,Expert,Extremely active,10:00,13:00,18:30,Evening,Off,False,True
user_018,Person 18,Portion controller,5-6 small meals,Vegan,Streaky user,4-5 times/day,Never,Beginner,Sedentary,10:15,14:45,21:30,Afternoon,Off,False,False
user_019,Person 19,Clean plate club,Late night snacker,Flexitarian,Habit tracker,3 times/day,Never,Expert,Lightly active,10:30,12:15,18:30,Afternoon,Medium,True,True
user_020,Person 20,Grazing,5-6 small meals,Dairy-free,Notification ignorer,6+ times/day,Rarely,Intermediate,Moderately active,08:15,12:30,19:00,Evening,Low,False,True
user_021,Person 21,Regular meals,Late night snacker,Whole30,Feature explorer,6+ times/day,Never,Doesn't cook,Lightly active,07:30,14:00,20:30,Evening,High,False,True
