id,name,eat_habit,eat_time_pattern,diet,app_behavior,meal_frequency,snack_frequency,cooking_skill,activity_level,breakfast_time,lunch_time,dinner_time,app_usage_hours,notification_preference,goal_oriented,social_features_user
user_001,person 1,Mindful eater,Standard (7-9 AM breakfast),Paleo,Quick checker,3 times/day,Rarely,Expert,Lightly active,07:00,14:15,19:30,Night,High,False,True
user_002,person 2,Regular meals,Late starter (9-11 AM breakfast),Keto,Power user,3 times/day,Rarely,Doesn't cook,Very active,07:15,12:15,21:30,Afternoon,Medium,False,True
user_003,person 3,Regular meals,Early bird (6-7 AM breakfast),Raw food,Deep diver,1-2 times/day,Often,Expert,Lightly active,10:45,14:00,20:15,Morning,High,True,False
user_004,person 4,Frequent snacking,5-6 small meals,Dairy-free,Quick checker,3 times/day,Sometimes,Doesn't cook,Moderately active,10:00,13:30,19:00,Night,Low,True,True
user_005,person 5,Regular meals,Irregular timing,Raw food,Photo uploader,4-5 times/day,Never,Doesn't cook,Very active,08:45,14:15,21:00,Evening,High,False,False
user_006,person 6,Slow eater,Irregular timing,Paleo,Feature explorer,3 times/day,Always,Doesn't cook,Moderately active,09:00,13:15,19:15,Evening,Medium,False,False
user_007,person 7,Frequent snacking,3 large meals,No restrictions,Habit tracker,3 times/day,Rarely,Beginner,Very active,09:15,12:15,17:00,Night,Off,False,True
user_008,person 8,Stress eater,Early bird (6-7 AM breakfast),Lactose intolerant,Weekend warrior,3 times/day,Rarely,Beginner,Moderately active,10:15,13:00,19:45,Night,Low,False,False
user_009,person 9,Intermittent fasting,3 large meals,Omnivore,Power user,3 times/day,Often,Advanced,Sedentary,06:30,13:30,18:15,Morning,Low,False,False
user_010,person 10,Portion controller,Weekend warrior,Whole30,Community participant,3 times/day,Often,Intermediate,Very active,08:15,14:00,20:00,Evening,Medium,True,False
user_011,person 11,Fast eater,Early bird (6-7 AM breakfast),Mediterranean,Deep diver,3 times/day,Often,Beginner,Extremely active,07:30,12:00,19:30,Night,High,False,False
user_012,person 12,Slow eater,Consistent schedule,Dairy-free,Recipe saver,3 times/day,Rarely,Expert,Moderately active,07:00,11:00,19:45,Evening,Low,False,False
